Income ,cigtax,edu_fa,edu_mo,birthorder,male,white,cig_p,bwghtlbs,lfaminc,,,,
13.5,16.5,12,12,1,1,1,0,6.8125,2.60269,,,,
7.5,16.5,6,12,2,1,0,0,8.3125,2.014903,,,,
0.5,16.5,0,12,2,0,0,0,8.0625,-0.6931472,,,,
15.5,16.5,12,12,2,1,0,0,7.875,2.74084,,,,
27.5,16.5,14,12,2,1,1,0,8.375,3.314186,,,,
7.5,16.5,12,14,6,1,0,0,7.375,2.014903,,,,
65,16.5,16,14,2,0,1,0,8.75,4.174387,,,,
27.5,16.5,12,14,2,0,0,0,5.375,3.314186,,,,
27.5,16.5,12,17,2,0,1,0,7.5625,3.314186,,,,
37.5,16.5,16,18,2,0,1,0,8.0625,3.624341,,,,
27.5,16.5,12,16,2,1,0,0,6.3125,3.314186,,,,
27.5,16.5,16,15,1,1,1,0,8.3125,3.314186,,,,
6.5,16.5,0,12,3,1,0,0,3.8125,1.871802,,,,
10.5,16.5,12,12,1,1,1,0,6.5,2.351375,,,,
12.5,16.5,7,12,1,1,0,0,5.75,2.525729,,,,
17.5,16.5,13,13,1,1,1,0,7.625,2.862201,,,,
42.5,16.5,18,16,1,1,1,0,9.9375,3.749504,,,,
4.5,16.5,0,11,1,0,0,0,9.625,1.504077,,,,
32.5,16.5,16,16,1,1,0,0,7.5,3.48124,,,,
6.5,16.5,0,11,2,0,0,0,8.625,1.871802,,,,
47.5,16.5,16,17,1,0,1,0,7.9375,3.86073,,,,
22.5,16.5,12,12,2,1,1,0,6.6875,3.113515,,,,
15.5,16.5,8,11,2,1,1,6,8.0625,2.74084,,,,
13.5,16.5,12,12,1,0,0,0,8.0625,2.60269,,,,
37.5,16.5,11,11,1,0,1,0,9.75,3.624341,,,,
2.5,16.5,11,12,2,1,0,0,7.75,0.9162908,,,,
2.5,16.5,0,12,2,1,0,0,4.9375,0.9162908,,,,
32.5,16.5,12,12,2,1,1,0,7,3.48124,,,,
22.5,16.5,12,12,1,1,1,0,7.75,3.113515,,,,
0.5,15,0,12,2,1,0,0,8.375,-0.6931472,,,,
65,15,12,12,1,0,1,0,7.125,4.174387,,,,
65,15,16,13,1,1,1,0,7.75,4.174387,,,,
65,15,16,16,2,1,1,0,7.625,4.174387,,,,
27.5,15,11,10,2,0,0,0,6.5,3.314186,,,,
7.5,15,5,8,3,0,1,0,6.5625,2.014903,,,,
47.5,15,16,16,2,1,1,0,7.0625,3.86073,,,,
65,15,12,12,2,1,1,0,8.1875,4.174387,,,,
65,15,16,14,1,0,1,0,6.6875,4.174387,,,,
32.5,15,12,9,1,1,1,0,7.1875,3.48124,,,,
13.5,15,10,13,3,0,0,0,6.0625,2.60269,,,,
65,15,12,12,1,1,1,0,6.625,4.174387,,,,
47.5,15,15,12,1,1,1,0,8.25,3.86073,,,,
37.5,15,18,16,1,1,1,0,6.75,3.624341,,,,
32.5,15,16,14,1,1,0,0,7.125,3.48124,,,,
18.5,15,14,12,1,1,1,0,8.375,2.917771,,,,
65,15,18,16,1,0,0,0,8.375,4.174387,,,,
65,15,18,16,1,1,1,0,8.8125,4.174387,,,,
11.5,15,12,12,1,1,1,0,5.25,2.442347,,,,
32.5,15,13,13,3,1,0,0,5.5,3.48124,,,,
65,15,16,18,1,1,1,0,8.125,4.174387,,,,
17.5,15,12,12,2,1,0,0,8.25,2.862201,,,,
16.5,15,13,13,1,1,1,0,8.3125,2.80336,,,,
22.5,15,12,12,2,0,1,0,6.75,3.113515,,,,
42.5,15,16,14,2,0,1,0,5.75,3.749504,,,,
32.5,15,12,14,2,1,1,0,7.9375,3.48124,,,,
11.5,15,11,9,1,1,1,0,8.1875,2.442347,,,,
65,15,16,15,1,0,1,0,6.5,4.174387,,,,
27.5,15,12,12,1,0,1,0,7.625,3.314186,,,,
